"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5,R4,R7,R6,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1k";;;
2;"Q4,Q3,Q2,Q1";"SOT-23";4;"AO3400A";;;
3;"F1";"Fuseholder_Clip-6.3x32mm_Littelfuse_102_122_Inline_P34.21x7.62mm_D1.98mm_Horizontal";1;"250V@500mA";;;
4;"K4,K3,K1,K2";"RELAY_SRD-05VDC-SL-C";4;"SRD-05VDC-SL-C";;;
5;"C2,C3,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
6;"U3";"XCVR_ESP32-C3-MINI-1-N4";1;"ESP32-C3-MINI-1-N4";;;
7;"C4,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1uF";;;
8;"D4,D2,D5,D3";"D_SMA";4;"SS14";;;
9;"BOOT1,RST";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";2;"SW_Push";;;
10;"D7,D1,D8,D6,D9";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"LED";;;
11;"J2,J4,J5,J3";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";4;"01x02";;;
12;"PS1";"Converter_ACDC_Hi-Link_HLK-PMxx";1;"HLK-PM01";;;
13;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
14;"R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
15;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
16;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"01x04";;;
17;"U1";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
18;"RV1";"RV_Disc_D15.5mm_W7.5mm_P7.5mm";1;"275V-14D";;;
19;"RN1";"R_Array_SIP5";1;"4k7";;;
20;"J6";"BatteryHolder_Keystone_1058_1x2032";1;"01X02";;;
