Ref,Val,Package,PosX,PosY,Rot,Side
"J6","01X02","BatteryHolder_Keystone_1058_1x2032",-181.090000,-101.430000,0.000000,bottom
"BOOT1","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",182.830000,-86.500000,180.000000,top
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.077800,-113.349200,-90.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.235000,-72.480000,180.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.415300,-98.733400,0.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.235000,-75.480000,180.000000,top
"C5","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.840300,-98.733400,180.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.272500,-75.480000,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.852800,-116.789200,180.000000,top
"D2","SS14","D_SMA",202.336400,-67.189600,90.000000,top
"D3","SS14","D_SMA",202.210000,-101.960000,90.000000,top
"D4","SS14","D_SMA",202.210000,-84.960000,90.000000,top
"D5","SS14","D_SMA",202.210000,-113.960000,90.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",139.959997,-84.779185,90.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.167000,-104.785800,0.000000,top
"D8","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",139.127800,-77.738400,90.000000,top
"D9","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",196.481400,-67.019600,180.000000,top
"J1","01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",173.460000,-85.700000,0.000000,top
"Q1","AO3400A","SOT-23",143.509997,-85.191685,-90.000000,top
"Q2","AO3400A","SOT-23",137.754500,-108.335800,180.000000,top
"Q3","AO3400A","SOT-23",142.677800,-78.150900,-90.000000,top
"Q4","AO3400A","SOT-23",196.393900,-63.569600,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.577800,-113.289200,-90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",189.291715,-73.690000,-90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.235000,-72.480000,0.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.959997,-84.754185,90.000000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.192000,-102.285800,0.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.627800,-77.713400,90.000000,top
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",196.456400,-69.519600,180.000000,top
"RST","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",183.235000,-80.230000,180.000000,top
"U1","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",150.290000,-114.595000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",139.877800,-92.583400,90.000000,top
"U3","ESP32-C3-MINI-1-N4","XCVR_ESP32-C3-MINI-1-N4",179.697800,-52.468600,0.000000,top
